Mathematics, Language, Science, History, English, Physical_Education, Art,mean_sciences,mean_humanities,Total_mean
6.4,6.9,6.4,6.7,5.7,7.1,6.4,6.40,6.80,6.51
6.1,5.5,5.9,6.9,5.5,8.8,6.8,6.00,6.20,6.50
5.3,5.9,4.2,6.4,5,7.9,7.8,4.75,6.15,6.07
5.6,5,5.4,7,7.2,7.3,7.6,5.50,6.00,6.44
5.4,5.1,5.9,6.2,6.3,5.6,6.5,5.65,5.65,5.86
5.6,7,6,6.5,5.9,6.5,6,5.80,6.75,6.21
5.9,6.2,5.6,6,5.9,8.5,6.3,5.75,6.10,6.34
6.1,5.6,5.5,6.1,5.4,5.8,6.7,5.80,5.85,5.89
5.3,4.9,6.2,6.2,7.4,6.7,8.5,5.75,5.55,6.46
6.2,6.1,5.8,6,6.3,8,5.8,6.00,6.05,6.31
5,6.2,4.9,6,6.1,8.2,6,4.95,6.10,6.06
5.5,6.5,6.1,6.8,5.5,7.5,7.9,5.80,6.65,6.54
6,6.9,6,6.5,4.3,5.7,7.1,6.00,6.70,6.07
4.3,6.7,6.1,6.1,6.2,7.7,6.7,5.20,6.40,6.26
6.8,6.3,5.8,5.1,4.1,6.2,8.7,6.30,5.70,6.14
5.5,5.1,6,5.8,5.9,8.5,5.1,5.75,5.45,5.99
5.5,6.8,5.6,6.2,6.7,7.8,7.5,5.55,6.50,6.59
5.3,5.3,5.1,6.1,5.5,5.4,6.8,5.20,5.70,5.64
5.1,5.5,4.6,6.4,7,7.9,6.9,4.85,5.95,6.20
5.1,6,6.4,6.1,5.2,7.2,6,5.75,6.05,6.00
5,8.3,5.5,4.9,5.1,7.8,6.9,5.25,6.60,6.21
7,6.1,6.9,6.5,5.9,6.6,6.8,6.95,6.30,6.54
5.2,6.3,5.3,7.2,5.5,5.2,8.2,5.25,6.75,6.13
6,7,4.4,6.3,7,5.4,7,5.20,6.65,6.16
6,5.9,6,7.2,6.9,7.6,6.6,6.00,6.55,6.60
5.5,6.2,6,7.3,7.7,7.3,6.5,5.75,6.75,6.64
5.2,5.9,5.6,6.6,5.7,6.5,7.1,5.40,6.25,6.09
5.8,5.2,6.3,7.4,5.7,6.9,7.2,6.05,6.30,6.36
5.9,6.7,5.1,6.2,5.9,7.3,8.6,5.50,6.45,6.53
5.3,5.7,5.9,6.4,4.8,7.9,6.9,5.60,6.05,6.13
4.7,6.4,5.9,5.6,6.4,5.9,8,5.30,6.00,6.13
5,6.3,5.5,6.9,6,7.8,8.4,5.25,6.60,6.56
5.2,6.8,5.5,6.4,5.7,6.6,7.1,5.35,6.60,6.19
5.1,7.3,5.3,5.8,6.1,8.1,7.2,5.20,6.55,6.41
6.5,7.8,6.2,6.9,4.7,8.4,6.3,6.35,7.35,6.69
5.4,5.9,4.8,6.4,6.1,7.6,6.6,5.10,6.15,6.11
5.2,5.8,4.3,5.8,6.2,10,7.8,4.75,5.80,6.44
5.4,4.7,5.6,5.9,6.5,7.8,7.6,5.50,5.30,6.21
5.7,6,6.3,7.1,5,7.4,7.9,6.00,6.55,6.49
6.3,6.4,5.3,6.8,6.1,7.4,7.6,5.80,6.60,6.56
5.5,6.7,4.3,7.2,6.8,4.6,6.8,4.90,6.95,5.99
5.4,7.1,5,6.3,6.2,6.5,7.5,5.20,6.70,6.29
6,4.7,5.3,6.4,6.4,8.3,6.4,5.65,5.55,6.21
6.3,5,5.3,5.9,6.2,6.8,8,5.80,5.45,6.21
5.8,6.3,5.7,6.4,6.2,8,7,5.75,6.35,6.49
5.4,4.9,6,7.7,5.7,9.3,7.7,5.70,6.30,6.67
4.7,7.2,5.8,5.6,6.8,7.2,9.7,5.25,6.40,6.71
5.9,5.8,4.9,6.2,4.4,6.5,6.9,5.40,6.00,5.80
4.8,6.2,4.3,5.9,6.7,6.2,7.2,4.55,6.05,5.90
5.9,7.1,6.3,4.8,5.8,7.4,7,6.10,5.95,6.33
6.3,5.3,5.9,6.5,7,7.2,6.6,6.10,5.90,6.40
5.3,6,6.1,5.2,6,7.2,8.5,5.70,5.60,6.33
5.9,6.8,5,7.2,4.9,9,6.2,5.45,7.00,6.43
5.6,5.9,6.7,7.1,5.6,8.8,6,6.15,6.50,6.53
6.1,6.5,5.5,5.4,6.2,6.7,6.5,5.80,5.95,6.13
5.6,4.5,5.3,6.7,5.9,7.4,8.4,5.45,5.60,6.26
5.7,7.3,5.4,6.9,5.7,8,6.3,5.55,7.10,6.47
5.7,6.7,5.7,5.5,6.8,5.9,7.4,5.70,6.10,6.24
5,6.6,5.3,5.8,5.1,8.8,6.2,5.15,6.20,6.11
6.1,5,6,7.5,5.3,7.7,7.3,6.05,6.25,6.41
4.7,6.5,5.9,6.9,5.6,7,6.2,5.30,6.70,6.11
6.6,6.1,5.2,4.9,6.4,7.7,6.4,5.90,5.50,6.19
5.2,6.9,5.5,6.9,5.7,7.7,7.3,5.35,6.90,6.46
4.4,6.7,5.1,7.3,5.2,7.6,8.6,4.75,7.00,6.41
6.4,7.1,5.4,6,5.3,7,6.4,5.90,6.55,6.23
6.2,6.6,5.6,6.5,6.8,6.9,6.9,5.90,6.55,6.50
5.4,5.4,6.1,5.9,5.5,7.3,6.7,5.75,5.65,6.04
5.8,6.5,5,5.8,5.6,6.7,6.3,5.40,6.15,5.96
6.9,5.2,5.1,6.1,5.7,7.4,6.6,6.00,5.65,6.14
5.8,6.8,5.1,7.2,6,7.8,6.8,5.45,7.00,6.50
5.8,5.5,5.6,7.2,5.5,7.8,5.1,5.70,6.35,6.07
5.2,6.7,5.2,6.9,5.6,6.8,8.1,5.20,6.80,6.36
6.9,7,5.1,6,5.2,6.8,7.4,6.00,6.50,6.34
6,5.1,5.8,6.3,5.8,8.7,7,5.90,5.70,6.39
5.8,5.9,5.3,6.2,5.1,5.6,8.4,5.55,6.05,6.04
7.4,5.4,5.9,7.5,5.7,5.9,7.9,6.65,6.45,6.53
5.9,5.5,5.5,5.3,4.8,8.2,7.1,5.70,5.40,6.04
4.8,5.3,5.4,6.1,6.9,5.4,6,5.10,5.70,5.70
5.7,5,4.9,8.5,5.9,8.3,6.3,5.30,6.75,6.37
5.9,6.9,5.8,5.7,5.2,7.6,7.6,5.85,6.30,6.39
6.7,6,5.1,4.6,6.2,7.6,6.8,5.90,5.30,6.14
5.3,6,5.7,6.5,6.2,8,6.6,5.50,6.25,6.33
4.3,8,5.7,6.1,6.8,8.3,5.4,5.00,7.05,6.37
5.7,5.9,5,5.3,5.5,5.8,5.6,5.35,5.60,5.54
5.8,5.2,6.2,6.3,6.4,6,6.8,6.00,5.75,6.10
6.2,5.3,4.6,7.1,6.2,6.5,7.2,5.40,6.20,6.16
5,6.7,4.6,7.5,5.4,6.4,7,4.80,7.10,6.09
4.7,6.4,7.4,7.2,4,5.6,7.1,6.05,6.80,6.06
4.5,6.9,5,5.4,6.6,6.2,4.7,4.75,6.15,5.61
5,6,5,7.2,6.9,9.2,5.6,5.00,6.60,6.41
5.9,6.3,5,7.4,6,6.3,6.3,5.45,6.85,6.17
5.3,5.2,5.8,6.4,6.5,7.5,7.6,5.55,5.80,6.33
5.3,5.7,5.5,6.9,5.6,8.4,7.6,5.40,6.30,6.43
6.6,5.4,5.6,5.8,5.9,7.8,6.4,6.10,5.60,6.21
7,5.7,6,7,5.7,6.4,7.7,6.50,6.35,6.50
6.3,6.7,5.6,5.7,6.6,7.7,8.2,5.95,6.20,6.69
6.8,7,5.2,6,6.4,5.5,6,6.00,6.50,6.13
4.8,6.1,5.7,7.1,5.1,5.4,6,5.25,6.60,5.74
5.2,6.7,4.8,6.5,6.6,8.9,6.6,5.00,6.60,6.47
5.6,6,5.2,7.6,5.2,7.1,7.5,5.40,6.80,6.31
