N,Deltasigma
37,0.950
72,0.950
74,0.950
76,0.950
83,0.950
85,0.950
105,0.950
109,0.950
120,0.950
123,0.950
143,0.950
203,0.950
206,0.950
217,0.950
257,0.950
201,0.900
216,0.900
226,0.900
252,0.900
257,0.900
295,0.900
311,0.900
342,0.900
356,0.900
451,0.900
457,0.900
509,0.900
540,0.900
680,0.900
1129,0.900
1246,0.825
1258,0.825
1460,0.825
1492,0.825
2400,0.825
2410,0.825
2590,0.825
2903,0.825
3330,0.825
3590,0.825
3847,0.825
4110,0.825
4820,0.825
5560,0.825
5598,0.825
6710,0.750
9930,0.750
12600,0.750
15580,0.750
16190,0.750
17280,0.750
18620,0.750
20300,0.750
24900,0.750
26260,0.750
27940,0.750
36350,0.750
48420,0.750
50090,0.750
67340,0.750
102950,0.675
280320,0.675
339830,0.675
366900,0.675
485620,0.675
658960,0.675
896330,0.675
1241760,0.675
1250200,0.675
1329780,0.675
1399830,0.675
1459140,0.675
3294820,0.675
12709000,0.675
14373000,0.675
